generation,outcome,parent_generation,score,terminal_mean,raw_gain,best_so_far_raw_gain,best_so_far_improvement_raw
1,failed_proposal,,,,,0.0,
2,invalid,0,-1000000000.0,,,0.0,
3,valid,0,-0.3138888424718311,8.089861111111112,-66.9492361111111,0.0,0.0
4,valid,0,2.4210789509616557,591.4301388888889,516.3910416666666,516.3910416666666,516.3910416666666
5,valid,4,2.841815364095667,681.1688541666666,606.1297569444444,606.1297569444444,89.73871527777771
6,valid,0,2.64342072026547,638.8533333333334,563.8142361111111,606.1297569444444,0.0
7,valid,6,2.64342072026547,638.8533333333334,563.8142361111111,606.1297569444444,0.0
8,valid,0,2.841815364095667,681.1688541666666,606.1297569444444,606.1297569444444,0.0
9,valid,7,2.7972292452260485,671.6590972222223,596.62,606.1297569444444,0.0
10,valid,5,2.845900348014943,682.0401388888889,607.0010416666667,607.0010416666667,0.871284722222299
11,valid,9,2.8312251413681855,678.9100694444445,603.8709722222222,607.0010416666667,0.0
12,valid,8,2.8419368082435876,681.1947569444444,606.1556597222223,607.0010416666667,0.0
13,valid,5,2.8459563490697484,682.0520833333334,607.0129861111111,607.0129861111111,0.011944444444452529
14,failed_proposal,,,,,607.0129861111111,
15,valid,10,2.845900348014943,682.0401388888889,607.0010416666667,607.0129861111111,0.0
16,valid,5,2.8459467442376742,682.0500347222221,607.0109375,607.0129861111111,0.0
17,valid,12,2.8383143214077475,680.4221180555555,605.3830208333334,607.0129861111111,0.0
18,valid,16,2.8459563490697484,682.0520833333334,607.0129861111111,607.0129861111111,0.0
19,valid,12,2.8458925339142724,682.0384722222223,606.9993750000001,607.0129861111111,0.0
20,valid,18,2.8459519536381213,682.0511458333333,607.0120486111111,607.0129861111111,0.0
21,valid,18,2.8459501629067177,682.0507638888889,607.0116666666667,607.0129861111111,0.0
22,valid,20,2.845959604945028,682.0527777777778,607.0136805555555,607.0136805555555,0.000694444444434339
23,valid,21,2.8459508140817733,682.0509027777778,607.0118055555556,607.0136805555555,0.0
24,valid,23,2.845952116431885,682.0511805555557,607.0120833333334,607.0136805555555,0.0
25,valid,12,2.8419368082435876,681.1947569444444,606.1556597222223,607.0136805555555,0.0
26,valid,20,2.8459607445013755,682.0530208333334,607.0139236111112,607.0139236111112,0.0002430555556429681
27,valid,22,2.845954395544581,682.0516666666667,607.0125694444445,607.0139236111112,0.0
28,valid,22,2.845953093194469,682.0513888888888,607.0122916666667,607.0139236111112,0.0
29,valid,19,2.84590637138421,682.0414236111111,607.002326388889,607.0139236111112,0.0
30,valid,26,2.845955209513401,682.0518402777778,607.0127430555556,607.0139236111112,0.0
