case_index,environment_seed,optimizer_seed,regime,c4_r1_retain_minus_baseline,c4_r1p5_retain_minus_baseline,c4_r1_reset_minus_baseline,c4_r1p5_reset_minus_baseline,v3_selected_minus_baseline,radius_effect_retain,radius_effect_reset,reset_effect_radius_1,reset_effect_radius_1p5,v3_minus_direct_constant_4_1p5,radius_by_velocity_interaction
0,410001,1410001,severity=1;period=2500,-1.5184654740235808,-0.8152037381032669,0.08480651880498602,-1.0273599829537492,-0.895339732078241,0.7032617359203139,-1.1121665017587352,1.6032719928285668,-0.21215624485048235,-0.08013599397497417,-1.8154282376790492
1,410002,1410002,severity=1;period=2500,-1.0593401937360691,-1.1808971101684929,-0.759089723316928,-0.9335911877993155,-0.8844689064507141,-0.12155691643242372,-0.17450146448238746,0.3002504704191411,0.24730592236917737,0.2964282037177788,-0.052944548049963736
2,410101,1410101,severity=1;period=5000,-0.015685658301376693,-0.009591314740392765,-0.05816157921009468,-0.0018749160000843812,-0.026690892735344862,0.006094343560983928,0.0562866632100103,-0.04247592090871799,0.007716398740308383,-0.017099577994952098,0.05019231964902637
3,410102,1410102,severity=1;period=5000,-0.3121350060581567,-0.2933999829530072,-0.30025614090720665,-0.2934148298563095,-0.2618076313985198,0.018735023105149518,0.006841311050897136,0.011878865150950046,-1.4846903302334624e-05,0.03159235155448736,-0.011893712054252381
4,410201,1410201,severity=3;period=2500,1.2659314831000748,0.654839703835596,1.0584786928530336,1.2285783489936728,0.09581808898348143,-0.6110917792644788,0.17009965614063915,-0.2074527902470411,0.5737386451580768,-0.5590216148521145,0.7811914354051179
5,410202,1410202,severity=3;period=2500,-0.18128860875746655,0.045821324919932405,0.14445872880342892,0.025958268090281678,0.002711937331933978,0.22710993367739896,-0.11850046071314724,0.32574733756089547,-0.019863056829650727,-0.04310938758799843,-0.3456103943905462
6,410301,1410301,severity=3;period=5000,-1.406313130707856,-1.3852398118483533,-0.965775421090405,-0.013731310010919096,-0.5531445634442713,0.0210733188595027,0.9520441110794859,0.440537709617451,1.3715085018374342,0.832095248404082,0.9309707922199832
7,410302,1410302,severity=3;period=5000,0.17321758476082394,0.3075825156778196,0.03972382283498188,0.28592311869726084,0.35124530852681923,0.13436493091699564,0.24619929586227896,-0.13349376192584206,-0.021659396980558743,0.043662792848999654,0.11183436494528332
