case_index,environment_seed,optimizer_seed,regime,selected_minus_comparator
0,1308101991,2098022737,severity=1;period=2500,-0.1966334265709584
1,1684256785,263815896,severity=1;period=2500,-0.05025561214677765
2,1618180936,1105269032,severity=1;period=5000,-0.22309925556912247
3,1505366921,462599044,severity=1;period=5000,0.2779673383432162
4,98251851,407101707,severity=3;period=2500,0.5326521362045891
5,501297350,588778744,severity=3;period=2500,0.7798958862311656
6,778713580,593853902,severity=3;period=5000,0.03526253708250948
7,233685175,388563697,severity=3;period=5000,-6.197992570570151
